command,mean,stddev,median,user,system,min,max
3dBrickStat -slow /home/foranw/mybrain/mybrain_2017-08_7t.nii.gz,0.54763851858,0.022454230678392913,0.53967885516,0.5179333400000001,0.025312049999999996,0.53059293816,0.64831021316
deno run --allow-read scripts/niimean.js,1.1393852717300004,0.010035886493299803,1.13766090866,1.1743561000000002,0.07620703999999998,1.11953572616,1.1813967841600002
scripts/niimean.m,1.1474730584299997,0.0703385494593326,1.12686559166,0.7884413199999999,0.29774253,1.10954141316,1.63104229216
niimean/niimean,2.1813926228900002,0.01572223293614776,2.1772859096599997,2.2713253399999997,0.13440672,2.15954909316,2.2557341001599998
scripts/niimean.py,1.4572102655699999,0.018124641225420884,1.45347411166,1.2529392700000006,0.19419366999999998,1.43718064516,1.5855955961600001
julia scripts/niimean.jl,1.6109742047499995,0.03884480838612564,1.59943891366,1.4522520600000002,0.14643271999999996,1.57226555916,1.87193497816
scripts/niimean.R,2.874588960110001,0.10613828851818659,2.8398261526599997,2.5721125999999987,0.2865217400000001,2.77167332916,3.43738753916
target/release/niimean,2.0856334882300005,0.10356205815787138,2.0389786601599997,2.0345916799999997,0.04036003,2.0195822361599998,2.47842114816
