command,mean,stddev,median,user,system,min,max
3dBrickStat -slow /home/foranw/mybrain/mybrain_2017-08_7t.nii.gz,1.31236876538,0.027346943641022782,1.30703444288,1.2714542999999998,0.034614599999999995,1.27684930388,1.3659816258800002
deno run --allow-read niimean.js,2.1996014422799997,0.09543858052662353,2.18682969588,2.2868036999999997,0.1391839,2.06662028488,2.40131874788
./niimean.py,2.94057745828,0.33417395695978225,2.96982747638,1.7657783999999999,0.9350264999999999,2.34567030288,3.38086591588
./niimean.R,5.824491097080001,0.09700496361372511,5.782710527380001,5.169163599999999,0.6262357,5.69283182988,5.97655477088
niimean/niimean,2.4589911079799993,0.09983297465313921,2.4343674883799995,2.5551858999999997,0.4032371,2.2974501668799996,2.62098326788
./niimean.m,2.22461380238,0.08248534301742849,2.18271466838,1.7032683,0.49558929999999995,2.1612376798799997,2.41166251088
julia niimean.jl,3.1938072648799998,0.0559817343791372,3.17876571988,2.993194999999999,0.18275070000000002,3.13352710088,3.33861308488
